CODIGO;NOMBRE DEL PRODUCTO;CODIGO DE BARRAS;TIPO DE PRODUCTO;ENVASE;CONT.UN.COMPRA;CONT.UN.VENTA;FAMILIA;SUB-FAMILIA 1;SUB-FAMILIA 2;ESTADO;INCLUYE EN BOLETA;INCLUYE EN FACTURA;EXENTO DE IVA;NOMBRE CORTO;PESABLE;ILA;PRECIO VENTA
13;QUESO OREGANO QUILLAYES 330G.APP        ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;queso oregquillayes ; ;0;2580
14;BANDEJA HUEVO TRIZADO                   ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;HUEVOS                                  ;                                        ;                                        ;ACTIVO                                  ;S;S;N;BANDEJA HUEVO TRIZAD; ;0;1200
15;VIENESA 250G.PF PAVO REC.ABUELO         ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;LONGANIZA                               ;                                        ;ACTIVO                                  ;S;S;N;vienesa 5*250g.pf pa; ;0;350
16;QUESO CHANCO DOLLINCO                   ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;QUESO CHANCO DOLLINC;S;0;3580
17;NECTAR DAMAS.200CC.COLUN UNIDAD         ;7802920000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;BEBESTIBLES                             ;JUGOS                                   ;                                        ;ACTIVO                                  ;S;S;N;nectar dam200cc.colu; ;0;190
18;QUESO GAUDA DOLLINCO                    ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;queso gauddollinco  ;S;0;3300
19;HUEVOS CODORNIZ *24U.QUILLAHUA          ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;HUEVOS                                  ;????????????????????????????????????????;                                        ;ACTIVO                                  ;S;S;N;HUEVOS cod24u.quill ; ;0;1390
20;BANDEJA HUEVO TERCERA                   ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;HUEVOS                                  ;                                        ;                                        ;INACTIVO                                ;S;S;N;BANDEJA HUEVO TERCER; ;0;999999
22;MORT.JAMONADA SUPER  CERDO              ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;MORT.JAMONADA SUPER ;S;0;1690
23;SALAME LAM.12*141G.LA CRIANZA           ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;CERVEZA                                 ;                                        ;ACTIVO                                  ;S;S;N;salame lam12*141g.la; ;0;11160
24;JAMON SANDWICH SUPER                    ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;JAMON SANDWICH SUPER;S;0;2090
26;MORT.JAMONADA SUPER POLLO               ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;MORT.JAMONADA SUPER ;S;0;2230
27;PECHUGA PAVO AHUM.SOPRAVAL              ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;PECHUGA                                 ;                                        ;ACTIVO                                  ;S;S;N;PECHUGA PAVO AHUMADA;S;0;5398
29;NECTAR CHICO 200 CC.SOPROLE             ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;                                        ;                                        ;ACTIVO                                  ;S;S;N;NECTAR CHICO 200 CC.; ;0;999999
31;LECHE SABOR 200CC SOPROLE               ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;                                        ;                                        ;ACTIVO                                  ;S;S;N;LECHE SABOR 200CC SO; ;0;220
35;FONDO ALCACH.SAN AMBROSIO FCO.LT        ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;fondo alcasan ambros; ;0;3470
36;TRUTRO DE PAVO AHUMADO SOPRAVA          ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;ARROLLADOS                              ;                                        ;ACTIVO                                  ;S;S;N;TRUTRO DE PAVO AHUMA;S;0;4780
42;QUESO RALLADO 40G.DON LEO               ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;QUESOS                                  ;                                        ;ACTIVO                                  ;S;S;N;queso rall40g.don le; ;0;550
44;TURIN LA REYNA                          ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;TURIN LA REYNA      ;S;0;1460
45;PECHUGA PAVO LAMINADA SOPRAVAL          ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;PECHUGA                                 ;                                        ;ACTIVO                                  ;S;S;N;PECHUGA PAVO LAMINAD; ;0;1980
46;MINI CERVECERO PF                       ;7801930000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;MINI CERVECERO PF   ; ;0;1490
47;MINI MORT.FINA PF                       ;7801930000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;JAMONADA                                ;                                        ;ACTIVO                                  ;S;S;N;MINI MORT.FINA PF   ; ;0;930
48;MINI MORT.JAMONADA PF                   ;7801930000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;MILANCITO                               ;                                        ;ACTIVO                                  ;S;S;N;MINI MORT.JAMONADA P; ;0;1350
49;PANCETA LA CATALANA PESABLE             ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;JAMON                                   ;                                        ;ACTIVO                                  ;S;S;N;PANCETA AHcatalana  ;S;0;8180
50;SALCHICHA *5U.PF.                       ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;                                        ;                                        ;ACTIVO                                  ;S;S;N;SALCHICHA *5U.PF.   ; ;0;480
52;JAMON ACAR.LA REINA                     ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;JAMON                                   ;                                        ;ACTIVO                                  ;S;S;N;jamon acarla reina  ;S;0;5180
53;PACK LOMO KASSLER 150G.PF               ;7801930000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;INACTIVO                                ;S;S;N;PACK LOMO KASSLER PF; ;0;1220
54;CERVEZA LA REYNA                        ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;CERVEZA LA REYNA    ;S;0;1967
55;PACK PANCETA AHUMADA 150G.PF            ;7801930000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;PECHUGA                                 ;                                        ;ACTIVO                                  ;S;S;N;PACK PANCETA AHUMADA; ;0;1720
56;PECHUGA REB.20*480G.POLLO SADIA         ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;LEGUMBRES                               ;                                        ;ACTIVO                                  ;S;S;N;pechuga po20*480g.sa; ;0;27400
58;PATE PASTA JAMON SAN JORGE              ;7801910000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;PATE san jjamon     ; ;0;300
60;VIENESA PAVO SAN JORGE KILO             ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;VIENESA                                 ;                                        ;ACTIVO                                  ;S;S;N;VIENESA KIpavo san j; ;0;918
61;PACK 7 YOGHITO SOPROLE                  ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;INACTIVO                                ;S;S;N;pack 7 yogsoprole   ; ;0;1000
62;VINAGRE VINO BOUQUET 250CC.SLEMAN       ;7804620000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;vinagre bouquet    0; ;0;1090
63;MINI POLLO DESMENUZ.300G.S.PABLO        ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;mini pollodesmen.300; ;0;1790
65;PACK JAMON ACARAMELADO 200G.PF          ;7801930000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;JAMON                                   ;                                        ;INACTIVO                                ;S;S;N;PACK JAMON ACARAMELA; ;0;1580
67;VIENESA SURENA KILO PF.                 ;7801930000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;                                        ;                                        ;ACTIVO                                  ;S;S;N;VIENESA SURENA KILO ; ;0;2380
68;QUESO PIMIENTA QUILLAYES 330G.APP       ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;queso pimiquillayes ; ;0;2580
69;PATE CAMPO VICTORIA PESABLE             ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;TRUTRO                                  ;                                        ;ACTIVO                                  ;S;S;N;pate campovictoria p;S;0;3140
70;CHOLGAS 190G.AGUA DEYCO                 ;7801530000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;cholgas ag190g.deyco; ;0;880
71;YOGHURT POTE 900G.QUILLAYES             ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;INACTIVO                                ;S;S;N;yoghurt po900g.quill; ;0;980
72;MANJAR RAFULCO KILO                     ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;MANTECAS                                ;                                        ;ACTIVO                                  ;S;S;N;manjar  rarafulco kg; ;0;1890
75;MIX MARGARINA C/MANTEQ.500.G.           ;7802900000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;MARGARINAS                              ;                                        ;ACTIVO                                  ;S;S;N;MIX MARGARINA C/MANT; ;0;1510
76;EMPANADITAS DE QUESO 48 U.              ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;                                        ;                                        ;ACTIVO                                  ;S;S;N;EMPANADITAS DE QUESO; ;0;2680
78;YOGHURT NEXT TR.*36 SOPROLE             ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;YOGHURT 36next trozo; ;0;4896
79;LECHE DESC.LT.LONCO LECHE               ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;INACTIVO                                ;S;S;N;leche desclt.loncole; ;0;450
80;VINAGRE MANZANA 5LTS.DELIKATESEN        ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;vinagre ma5l.delikat; ;0;2790
82;MANTEQUILLA POTE UNTABLE 200G.SOPROLE   ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;MANTEQUILLAS                            ;                                        ;ACTIVO                                  ;S;S;N;MANTEQUILLA POTE UNT; ;0;1320
83;YOGHURT LIGHT *36 SOPROLE               ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;YOGURT                                  ;                                        ;ACTIVO                                  ;S;S;N;yoghurt li*36 soprol; ;0;4392
84;MARGARINA 1/8 SOPROLE                   ;7802900000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;MARGARINAS                              ;                                        ;ACTIVO                                  ;S;S;N;MARGARINA 1/8 SOPROL; ;0;230
85;MARGARINA 1/4 SOPROLE                   ;7802900000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;MARGARINA 1/4 SOPROL; ;0;450
86;MANTEQUILLA 1/8 SOPROLE                 ;7802900000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;MANTEQUILLAS                            ;                                        ;ACTIVO                                  ;S;S;N;MANTEQUILLA 1/8 SOPR; ;0;640
87;PIMIENTO MORRON GALON DEYCO             ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;pimiento mgalon deyc; ;0;4560
88;AGUA MINERAL GASIF.6*1.5LT.NEXT         ;7802900000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;INACTIVO                                ;S;S;N;AGUA MINERgasif.*6u.; ;0;1320
90;CHOCOLATE COLOR 500G.MASTER MARTINI     ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;chocolate color masr; ;0;2340
91;ACEITUNA ROD.GALON 1,56K.OLIVILLO       ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;INACTIVO                                ;S;S;N;aceituna  galon oliv; ;0;3900
92;PALMITOS ENT.800G.SAN AMBROSIO          ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;palmito   800g.ent  ; ;0;2140
93;POROTO GRANADO KG.MIN.VDE.              ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;poroto granado kg mi; ;0;2620
98;POROTO TORTOLA 10*1 PALMILLA            ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;LEGUMBRES                               ;                                        ;ACTIVO                                  ;S;S;N;poroto tor10*1 palmi; ;0;18240
99;MANTEQUILLA SOPROLE 250                 ;7802900000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;MANTEQUILLAS                            ;                                        ;ACTIVO                                  ;S;S;N;MANTEQUILLA SOPROLE ; ;0;1270
100;ACEITUNA VDE.LAM.KILO TOLEDO            ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;INACTIVO                                ;S;S;N;aceituna ,vde.lam kl; ;0;2290
101;LECHE POLVO 900G.COLUN                  ;7802920000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;INACTIVO                                ;S;S;N;leche pol 900g.colun; ;0;3930
102;LECHE POLVO IDEAL 10*900G.CJ.           ;7613030000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;QUESOS                                  ;                                        ;INACTIVO                                ;S;S;N;leche pol ideal*900 ; ;0;50000000
104;CEREAL FROOT LOOPS 340G.KELLOGGS        ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;LEGUMBRES                               ;                                        ;ACTIVO                                  ;S;S;N;cereal froloops 340g; ;0;2470
108;CHORIZO PARRILLERO CATALANA UNI         ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;MILANCITO                               ;                                        ;ACTIVO                                  ;S;S;N;CHORIZO pacatalana  ; ;0;2930
110;PERNIL DE PAVO ASADO                    ;7809610000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;ARROLLADOS                              ;                                        ;INACTIVO                                ;S;S;N;PERNIL DE PAVO ASADO; ;0;1410
111;DURAZNO CUBITO 570G.DEYCO               ;7801530000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;durazno cub.570g.dey; ;0;750
115;MARGARINA NEXT 1/8 SOPROLE              ;7802900000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;MARGARINA NEXT 1/8 S; ;0;240
118;JAMONADA SAN JORGE                      ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;ARROLLADOS                              ;                                        ;ACTIVO                                  ;S;S;N;JAMONADA SAN JORGE  ;S;0;2298
119;JAMONADA DE PAVO PF                     ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;JAMONADA                                ;                                        ;ACTIVO                                  ;S;S;N;JAMONADA DE PAVO    ;S;0;1904
120;FONDO ALCACH.410G.GHOSH                 ;7804610000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;fondo alca410g.ghosh; ;0;1370
121;CORAZON ALCACH.425G.GHOSH               ;7804610000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;corazon   alcach    ; ;0;1660
122;CHOLGAS 425 G.SAN JOSE                  ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;ARROLLADOS                              ;                                        ;ACTIVO                                  ;S;S;N;cholgas 425 san jose; ;0;1610
123;LECHE FRUT.24*200ML.KIDS COLUN          ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;leche frut24*200mnl.; ;0;5040
124;JAMON SAND.PAVO BUDAPEST                ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;JAMON                                   ;                                        ;ACTIVO                                  ;S;S;N;jamon sandpavo budap;S;0;3248
125;SALCH.CERVEZA SAN JORGE                 ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;SALCH.CERVEZA SAN JO;S;0;2970
126;VIENESA KILO SAN JORGE                  ;7801910000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;VIENESA                                 ;                                        ;ACTIVO                                  ;S;S;N;VIENESA KILO SAN JOR; ;0;1640
127;VIENESA CERDO 250G.SAN JORGE            ;7801910000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;VIENESA                                 ;                                        ;ACTIVO                                  ;S;S;N;VIENESA 1/4 SAN JORG; ;0;410
128;PACK YOGHURT*10U.SURLAT                 ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;YOGURT                                  ;                                        ;ACTIVO                                  ;S;S;N;pack*10   yoghurt   ; ;0;990
129;CREMA CHOCLO 380G.WASIL                 ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;crema choc380g.wasil; ;0;1030
130;SALSA SOYA 750ML.GHOSH DARK             ;7804610000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;salsa soya750ml.dark; ;0;940
131;SALSA SOYA 750ML.GHOSH LIGHT            ;7804610000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;salsa soya750ml.ligh; ;0;940
132;ACEITE OLIVA SLEMAN LITRO               ;7804620000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;                                        ;                                        ;ACTIVO                                  ;S;S;N;ACEITE OLIVA SLEMAN ; ;0;3270
133;PICADILLO MARISCOS 425G.DEYCO           ;7801530000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;picadillo mariscos  ; ;0;1120
134;BERBERECHOS 110G.R.CRUSOE               ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;berberecho110g.cruso; ;0;790
135;ACEITUNA 400G.NEGRA DESH.TOLEDO         ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;INACTIVO                                ;S;S;N;aceituna 400 negra d; ;0;1120
136;QUESO FRESCO LAS AGUILAS                ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;QUESO FRESCO LAS AGU;S;0;2880
137;MANTEQ RAFULCO CAJA 7KGS.               ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;MARGARINAS                              ;                                        ;ACTIVO                                  ;S;S;N;manteq 7k rafulco   ; ;0;24612
138;PAPAYAS TROC.380G.WASIL                 ;7801310000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;papayas tr380g.wasil; ;0;950
139;QUESO CABEZA NVA.PUCON                  ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;JAMON                                   ;                                        ;ACTIVO                                  ;S;S;N;queso cabepucon     ;S;0;2050
140;LECHE FRUT.6*1 SURLAT                   ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;INACTIVO                                ;S;S;N;leche frut6*1 surlat; ;0;99999
144;SALSA AJI KILO                          ;7802350000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;                                        ;                                        ;ACTIVO                                  ;S;S;N;SALSA AJI KILO      ; ;0;438
145;CHOCLITO COCTEL 425G.WASIL              ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;                                        ;                                        ;ACTIVO                                  ;S;S;N;CHOCLITO COCTEL 425G; ;0;590
146;FONDOS DE ALCACHOFAS NALCAHUE           ;7804940000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;                                        ;                                        ;ACTIVO                                  ;S;S;N;FONDOS DE ALCACHOFAS; ;0;2950
147;PAPAYAS FCO LT.SAN AMBROSIO             ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;PAPAYAS AL JUGO san ; ;0;3150
149;PALMITO ENTERO 410G.DEYCO               ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;                                        ;                                        ;ACTIVO                                  ;S;S;N;PALMITO ENTERO 410G.; ;0;1120
150;LECHE DE COCO DEYCO 400G.G.             ;7801530000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;LECHE DE Cdeyco     ; ;0;1270
151;PIMIENTO MORRON 185G.SAN AMBROSIO       ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;pimiento  morron    ; ;0;710
154;CHOCLO TROZO BOLSA 2 KGS.               ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;                                        ;                                        ;ACTIVO                                  ;S;S;N;CHOCLO TROZO BOLSA 2; ;0;1730
155;PINA CUBITO 570G.DEYCO                  ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;ABARROTES                               ;CONSERVAS                               ;                                        ;ACTIVO                                  ;S;S;N;PINA CUBITO DEYCO 57; ;0;680
